코드,유형 이름,설명
NHLF,바쁜 도시 텃밭러,초보자 + 감성 위주 + 시간 없음 + 유연한 환경
NHLC,소극적 자연애호가,초보자 + 감성 위주 + 시간 없음 + 제한된 환경
NHBF,힐링 초보,초보자 + 감성 위주 + 시간 많음 + 유연한 환경
NHBC,일상 속 미니농부,초보자 + 감성 위주 + 시간 많음 + 제한된 환경
NPLF,현실형 농부,초보자 + 수익 중심 + 시간 없음 + 유연한 환경
NPLC,도전형 텃밭러,초보자 + 수익 중심 + 시간 없음 + 제한된 환경
NPBF,실속파 초보,초보자 + 수익 중심 + 시간 많음 + 유연한 환경
NPBC,관리 최소 수익러,초보자 + 수익 중심 + 시간 많음 + 제한된 환경
AHLF,감성 텃밭 마스터,숙련자 + 감성 위주 + 시간 없음 + 유연한 환경
AHLC,공간 제약 정원사,숙련자 + 감성 위주 + 시간 없음 + 제한된 환경
AHBF,세심한 힐링 마니아,숙련자 + 감성 위주 + 시간 많음 + 유연한 환경
AHBC,일상 속 관리형 마스터,숙련자 + 감성 위주 + 시간 많음 + 제한된 환경
APLF,수익형 마스터,숙련자 + 수익 중심 + 시간 없음 + 유연한 환경
APLC,전문가형 텃밭 실천가,숙련자 + 수익 중심 + 시간 없음 + 제한된 환경
APBF,세심한 수익농부,숙련자 + 수익 중심 + 시간 많음 + 유연한 환경
APBC,전문 텃밭 경영자,숙련자 + 수익 중심 + 시간 많음 + 제한된 환경
